geo_type,region,transportation_type,alternative_name,sub_region,country,date,relative_mobility
city,Columbia,driving,NA,South Carolina,United States,2020-05-28,122.95
city,Columbia,driving,NA,South Carolina,United States,2020-05-29,128.19
city,Columbia,driving,NA,South Carolina,United States,2020-05-30,129.88
city,Columbia,driving,NA,South Carolina,United States,2020-05-31,94.2
city,Columbia,driving,NA,South Carolina,United States,2020-06-01,116.94
city,Columbia,driving,NA,South Carolina,United States,2020-06-02,114.65
city,Columbia,driving,NA,South Carolina,United States,2020-06-03,119.59
city,Columbia,driving,NA,South Carolina,United States,2020-06-04,125.76
city,Columbia,driving,NA,South Carolina,United States,2020-06-05,145.47
city,Columbia,driving,NA,South Carolina,United States,2020-06-06,136.5
city,Columbia,driving,NA,South Carolina,United States,2020-06-07,100.39
city,Columbia,driving,NA,South Carolina,United States,2020-06-08,121.03
city,Columbia,driving,NA,South Carolina,United States,2020-06-09,125.58
city,Columbia,driving,NA,South Carolina,United States,2020-06-10,121.44
city,Columbia,driving,NA,South Carolina,United States,2020-06-11,126.16
city,Columbia,driving,NA,South Carolina,United States,2020-06-12,148.63
city,Columbia,driving,NA,South Carolina,United States,2020-06-13,140.16
city,Columbia,driving,NA,South Carolina,United States,2020-06-14,104.84
city,Columbia,driving,NA,South Carolina,United States,2020-06-15,119.95
city,Columbia,driving,NA,South Carolina,United States,2020-06-16,119.5
city,Columbia,driving,NA,South Carolina,United States,2020-06-17,124.22
city,Columbia,driving,NA,South Carolina,United States,2020-06-18,127.87
city,Columbia,driving,NA,South Carolina,United States,2020-06-19,150.48
city,Columbia,driving,NA,South Carolina,United States,2020-06-20,149.98
city,Columbia,driving,NA,South Carolina,United States,2020-06-21,99.3
city,Columbia,driving,NA,South Carolina,United States,2020-06-22,123.87
city,Columbia,driving,NA,South Carolina,United States,2020-06-23,125.79
city,Columbia,driving,NA,South Carolina,United States,2020-06-24,126.24
city,Columbia,driving,NA,South Carolina,United States,2020-06-25,133.43
city,Columbia,driving,NA,South Carolina,United States,2020-06-26,151.78
city,Columbia,driving,NA,South Carolina,United States,2020-06-27,148.69
city,Columbia,driving,NA,South Carolina,United States,2020-06-28,110.92
city,Columbia,driving,NA,South Carolina,United States,2020-06-29,127.02
city,Columbia,driving,NA,South Carolina,United States,2020-06-30,130.05
city,Columbia,driving,NA,South Carolina,United States,2020-07-01,134.61
city,Columbia,driving,NA,South Carolina,United States,2020-07-02,144.56
city,Columbia,driving,NA,South Carolina,United States,2020-07-03,141.1
city,Columbia,driving,NA,South Carolina,United States,2020-07-04,110.95
city,Columbia,driving,NA,South Carolina,United States,2020-07-05,102.05
city,Columbia,driving,NA,South Carolina,United States,2020-07-06,125.28
city,Columbia,driving,NA,South Carolina,United States,2020-07-07,121.7
city,Columbia,driving,NA,South Carolina,United States,2020-07-08,125.25
city,Columbia,driving,NA,South Carolina,United States,2020-07-09,134.38
city,Columbia,driving,NA,South Carolina,United States,2020-07-10,150.4
city,Columbia,driving,NA,South Carolina,United States,2020-07-11,146.39
city,Columbia,driving,NA,South Carolina,United States,2020-07-12,106.28
city,Columbia,driving,NA,South Carolina,United States,2020-07-13,125.18
city,Columbia,driving,NA,South Carolina,United States,2020-07-14,127.92
city,Columbia,driving,NA,South Carolina,United States,2020-07-15,131.88
city,Columbia,driving,NA,South Carolina,United States,2020-07-16,136.61
city,Columbia,driving,NA,South Carolina,United States,2020-07-17,156.99
city,Columbia,driving,NA,South Carolina,United States,2020-07-18,155.2
city,Columbia,driving,NA,South Carolina,United States,2020-07-19,111.03
city,Columbia,driving,NA,South Carolina,United States,2020-07-20,124.37
city,Columbia,driving,NA,South Carolina,United States,2020-07-21,130.52
city,Columbia,driving,NA,South Carolina,United States,2020-07-22,130.66
city,Columbia,driving,NA,South Carolina,United States,2020-07-23,136.73
city,Columbia,driving,NA,South Carolina,United States,2020-07-24,152.3
city,Columbia,driving,NA,South Carolina,United States,2020-07-25,148.41
city,Columbia,driving,NA,South Carolina,United States,2020-07-26,109.85
city,Columbia,driving,NA,South Carolina,United States,2020-07-27,129.6
city,Columbia,driving,NA,South Carolina,United States,2020-07-28,131.91
city,Columbia,driving,NA,South Carolina,United States,2020-07-29,135.21
city,Columbia,driving,NA,South Carolina,United States,2020-07-30,137.38
city,Columbia,driving,NA,South Carolina,United States,2020-07-31,153.85
city,Columbia,driving,NA,South Carolina,United States,2020-08-01,149.84
city,Columbia,driving,NA,South Carolina,United States,2020-08-02,108.37
city,Columbia,driving,NA,South Carolina,United States,2020-08-03,125.8
city,Columbia,driving,NA,South Carolina,United States,2020-08-04,133.93
city,Columbia,driving,NA,South Carolina,United States,2020-08-05,132.15
city,Columbia,driving,NA,South Carolina,United States,2020-08-06,141.23
city,Columbia,driving,NA,South Carolina,United States,2020-08-07,158.62
city,Columbia,driving,NA,South Carolina,United States,2020-08-08,155.07
city,Columbia,driving,NA,South Carolina,United States,2020-08-09,122.01
city,Columbia,driving,NA,South Carolina,United States,2020-08-10,139.17
city,Columbia,driving,NA,South Carolina,United States,2020-08-11,141.81
city,Columbia,driving,NA,South Carolina,United States,2020-08-12,142.44
city,Columbia,driving,NA,South Carolina,United States,2020-08-13,145.86
city,Columbia,driving,NA,South Carolina,United States,2020-08-14,171.72
city,Columbia,driving,NA,South Carolina,United States,2020-08-15,167.28
city,Columbia,driving,NA,South Carolina,United States,2020-08-16,141.25
city,Columbia,driving,NA,South Carolina,United States,2020-08-17,161.44
city,Columbia,driving,NA,South Carolina,United States,2020-08-18,158.24
city,Columbia,driving,NA,South Carolina,United States,2020-08-19,155.2
city,Columbia,driving,NA,South Carolina,United States,2020-08-20,169.23
city,Columbia,driving,NA,South Carolina,United States,2020-08-21,178.11
city,Columbia,driving,NA,South Carolina,United States,2020-08-22,166.71
city,Columbia,driving,NA,South Carolina,United States,2020-08-23,125.99
city,Columbia,driving,NA,South Carolina,United States,2020-08-24,142.19
city,Columbia,driving,NA,South Carolina,United States,2020-08-25,144.22
city,Columbia,driving,NA,South Carolina,United States,2020-08-26,141.82
city,Columbia,driving,NA,South Carolina,United States,2020-08-27,147.85
city,Columbia,driving,NA,South Carolina,United States,2020-08-28,168.99
city,Columbia,driving,NA,South Carolina,United States,2020-08-29,154.38
city,Columbia,driving,NA,South Carolina,United States,2020-08-30,116.94
city,Columbia,driving,NA,South Carolina,United States,2020-08-31,133.15
city,Columbia,driving,NA,South Carolina,United States,2020-09-01,138.07
city,Columbia,driving,NA,South Carolina,United States,2020-09-02,139.74
city,Columbia,driving,NA,South Carolina,United States,2020-09-03,152.86
city,Columbia,driving,NA,South Carolina,United States,2020-09-04,180.88
city,Columbia,driving,NA,South Carolina,United States,2020-09-05,153.72
city,Columbia,driving,NA,South Carolina,United States,2020-09-06,118.85
city,Columbia,driving,NA,South Carolina,United States,2020-09-07,122.1
city,Columbia,driving,NA,South Carolina,United States,2020-09-08,136.09
city,Columbia,driving,NA,South Carolina,United States,2020-09-09,133.83
city,Columbia,driving,NA,South Carolina,United States,2020-09-10,144.81
city,Columbia,driving,NA,South Carolina,United States,2020-09-11,166.83
city,Columbia,driving,NA,South Carolina,United States,2020-09-12,162.54
city,Columbia,driving,NA,South Carolina,United States,2020-09-13,117.23
city,Columbia,driving,NA,South Carolina,United States,2020-09-14,134.94
city,Columbia,driving,NA,South Carolina,United States,2020-09-15,136.55
city,Columbia,driving,NA,South Carolina,United States,2020-09-16,134.46
city,Columbia,driving,NA,South Carolina,United States,2020-09-17,127.73
city,Columbia,driving,NA,South Carolina,United States,2020-09-18,162.83
city,Columbia,driving,NA,South Carolina,United States,2020-09-19,158.04
city,Columbia,driving,NA,South Carolina,United States,2020-09-20,115.11
city,Columbia,driving,NA,South Carolina,United States,2020-09-21,126.53
city,Columbia,driving,NA,South Carolina,United States,2020-09-22,129.48
city,Columbia,driving,NA,South Carolina,United States,2020-09-23,128.92
city,Columbia,driving,NA,South Carolina,United States,2020-09-24,137.58
city,Columbia,driving,NA,South Carolina,United States,2020-09-25,163.25
city,Columbia,driving,NA,South Carolina,United States,2020-09-26,164.36
city,Columbia,driving,NA,South Carolina,United States,2020-09-27,115.59
city,Columbia,driving,NA,South Carolina,United States,2020-09-28,117.73
city,Columbia,driving,NA,South Carolina,United States,2020-09-29,118.68
city,Columbia,driving,NA,South Carolina,United States,2020-09-30,131.13
city,Columbia,driving,NA,South Carolina,United States,2020-10-01,139.38
city,Columbia,driving,NA,South Carolina,United States,2020-10-02,164.56
city,Columbia,driving,NA,South Carolina,United States,2020-10-03,173.78
city,Columbia,driving,NA,South Carolina,United States,2020-10-04,115.92
city,Columbia,driving,NA,South Carolina,United States,2020-10-05,121.5
city,Columbia,driving,NA,South Carolina,United States,2020-10-06,125.47
city,Columbia,driving,NA,South Carolina,United States,2020-10-07,129.2
city,Columbia,driving,NA,South Carolina,United States,2020-10-08,135.82
city,Columbia,driving,NA,South Carolina,United States,2020-10-09,156.77
city,Columbia,driving,NA,South Carolina,United States,2020-10-10,139.79
city,Columbia,driving,NA,South Carolina,United States,2020-10-11,105.68
city,Columbia,driving,NA,South Carolina,United States,2020-10-12,122.43
city,Columbia,driving,NA,South Carolina,United States,2020-10-13,120.72
city,Columbia,driving,NA,South Carolina,United States,2020-10-14,128.85
city,Columbia,driving,NA,South Carolina,United States,2020-10-15,138.32
city,Columbia,driving,NA,South Carolina,United States,2020-10-16,168.72
city,Columbia,driving,NA,South Carolina,United States,2020-10-17,161.12
city,Columbia,driving,NA,South Carolina,United States,2020-10-18,118.19
city,Columbia,driving,NA,South Carolina,United States,2020-10-19,120.08
city,Columbia,driving,NA,South Carolina,United States,2020-10-20,123.43
city,Columbia,driving,NA,South Carolina,United States,2020-10-21,127.53
city,Columbia,driving,NA,South Carolina,United States,2020-10-22,135.38
city,Columbia,driving,NA,South Carolina,United States,2020-10-23,160.13
city,Columbia,driving,NA,South Carolina,United States,2020-10-24,151.95
city,Columbia,driving,NA,South Carolina,United States,2020-10-25,104.59
city,Columbia,driving,NA,South Carolina,United States,2020-10-26,122.17
city,Columbia,driving,NA,South Carolina,United States,2020-10-27,123.87
city,Columbia,driving,NA,South Carolina,United States,2020-10-28,125.83
city,Columbia,driving,NA,South Carolina,United States,2020-10-29,134.08
city,Columbia,driving,NA,South Carolina,United States,2020-10-30,168.05
city,Columbia,driving,NA,South Carolina,United States,2020-10-31,156.56
city,Columbia,driving,NA,South Carolina,United States,2020-11-01,101.05
city,Columbia,driving,NA,South Carolina,United States,2020-11-02,118.55
city,Columbia,driving,NA,South Carolina,United States,2020-11-03,122.33
city,Columbia,driving,NA,South Carolina,United States,2020-11-04,120.25
city,Columbia,driving,NA,South Carolina,United States,2020-11-05,121.01
city,Columbia,driving,NA,South Carolina,United States,2020-11-06,143.49
city,Columbia,driving,NA,South Carolina,United States,2020-11-07,139.55
city,Columbia,driving,NA,South Carolina,United States,2020-11-08,102.09
city,Columbia,driving,NA,South Carolina,United States,2020-11-09,111.02
city,Columbia,driving,NA,South Carolina,United States,2020-11-10,115.38
city,Columbia,driving,NA,South Carolina,United States,2020-11-11,112.75
city,Columbia,driving,NA,South Carolina,United States,2020-11-12,112.21
city,Columbia,driving,NA,South Carolina,United States,2020-11-13,144.71
city,Columbia,driving,NA,South Carolina,United States,2020-11-14,136.87
city,Columbia,driving,NA,South Carolina,United States,2020-11-15,95.68
city,Columbia,driving,NA,South Carolina,United States,2020-11-16,110.41
city,Columbia,driving,NA,South Carolina,United States,2020-11-17,112.55
city,Columbia,driving,NA,South Carolina,United States,2020-11-18,113.66
city,Columbia,driving,NA,South Carolina,United States,2020-11-19,120.73
city,Columbia,driving,NA,South Carolina,United States,2020-11-20,145.01
city,Columbia,driving,NA,South Carolina,United States,2020-11-21,134.09
city,Columbia,driving,NA,South Carolina,United States,2020-11-22,94.61
city,Columbia,driving,NA,South Carolina,United States,2020-11-23,114.78
city,Columbia,driving,NA,South Carolina,United States,2020-11-24,127.51
city,Columbia,driving,NA,South Carolina,United States,2020-11-25,136.1
city,Columbia,driving,NA,South Carolina,United States,2020-11-26,63.83
city,Columbia,driving,NA,South Carolina,United States,2020-11-27,109.29
city,Columbia,driving,NA,South Carolina,United States,2020-11-28,115.05
city,Columbia,driving,NA,South Carolina,United States,2020-11-29,90.78
city,Columbia,driving,NA,South Carolina,United States,2020-11-30,105.99
city,Columbia,driving,NA,South Carolina,United States,2020-12-01,107.29
city,Columbia,driving,NA,South Carolina,United States,2020-12-02,108.05
city,Columbia,driving,NA,South Carolina,United States,2020-12-03,112.93
city,Columbia,driving,NA,South Carolina,United States,2020-12-04,131.71
city,Columbia,driving,NA,South Carolina,United States,2020-12-05,127.28
city,Columbia,driving,NA,South Carolina,United States,2020-12-06,87.18
city,Columbia,driving,NA,South Carolina,United States,2020-12-07,103.73
city,Columbia,driving,NA,South Carolina,United States,2020-12-08,106.14
city,Columbia,driving,NA,South Carolina,United States,2020-12-09,109.25
city,Columbia,driving,NA,South Carolina,United States,2020-12-10,115.2
city,Columbia,driving,NA,South Carolina,United States,2020-12-11,131.84
city,Columbia,driving,NA,South Carolina,United States,2020-12-12,126.57
city,Columbia,driving,NA,South Carolina,United States,2020-12-13,89.07
city,Columbia,driving,NA,South Carolina,United States,2020-12-14,104.43
city,Columbia,driving,NA,South Carolina,United States,2020-12-15,110.42
city,Columbia,driving,NA,South Carolina,United States,2020-12-16,105.7
city,Columbia,driving,NA,South Carolina,United States,2020-12-17,117.28
city,Columbia,driving,NA,South Carolina,United States,2020-12-18,136.25
city,Columbia,driving,NA,South Carolina,United States,2020-12-19,125.39
city,Columbia,driving,NA,South Carolina,United States,2020-12-20,90.49
city,Columbia,driving,NA,South Carolina,United States,2020-12-21,117.23
city,Columbia,driving,NA,South Carolina,United States,2020-12-22,120.63
city,Columbia,driving,NA,South Carolina,United States,2020-12-23,134.29
city,Columbia,driving,NA,South Carolina,United States,2020-12-24,94.15
city,Columbia,driving,NA,South Carolina,United States,2020-12-25,49.37
city,Columbia,driving,NA,South Carolina,United States,2020-12-26,98.86
city,Columbia,driving,NA,South Carolina,United States,2020-12-27,88.17
city,Columbia,driving,NA,South Carolina,United States,2020-12-28,107.63
city,Columbia,driving,NA,South Carolina,United States,2020-12-29,110.5
city,Columbia,driving,NA,South Carolina,United States,2020-12-30,115.13
city,Columbia,driving,NA,South Carolina,United States,2020-12-31,123.24
city,Columbia,driving,NA,South Carolina,United States,2021-01-01,79.33
city,Columbia,driving,NA,South Carolina,United States,2021-01-02,109.05
city,Columbia,driving,NA,South Carolina,United States,2021-01-03,89.13
city,Columbia,driving,NA,South Carolina,United States,2021-01-04,104.97
city,Columbia,driving,NA,South Carolina,United States,2021-01-05,107.42
city,Columbia,driving,NA,South Carolina,United States,2021-01-06,105.58
city,Columbia,driving,NA,South Carolina,United States,2021-01-07,108.39
city,Columbia,driving,NA,South Carolina,United States,2021-01-08,117.82
city,Columbia,driving,NA,South Carolina,United States,2021-01-09,122.57
city,Columbia,driving,NA,South Carolina,United States,2021-01-10,94.68
city,Columbia,driving,NA,South Carolina,United States,2021-01-11,108.68
city,Columbia,driving,NA,South Carolina,United States,2021-01-12,111.8
city,Columbia,driving,NA,South Carolina,United States,2021-01-13,112.55
city,Columbia,driving,NA,South Carolina,United States,2021-01-14,115.99
city,Columbia,driving,NA,South Carolina,United States,2021-01-15,134.11
city,Columbia,driving,NA,South Carolina,United States,2021-01-16,127.6
city,Columbia,driving,NA,South Carolina,United States,2021-01-17,93.22
city,Columbia,driving,NA,South Carolina,United States,2021-01-18,110.08
city,Columbia,driving,NA,South Carolina,United States,2021-01-19,108.81
city,Columbia,driving,NA,South Carolina,United States,2021-01-20,107.13
city,Columbia,driving,NA,South Carolina,United States,2021-01-21,112.63
city,Columbia,driving,NA,South Carolina,United States,2021-01-22,130.17
city,Columbia,driving,NA,South Carolina,United States,2021-01-23,126.21
city,Columbia,driving,NA,South Carolina,United States,2021-01-24,89.9
city,Columbia,driving,NA,South Carolina,United States,2021-01-25,106.67
city,Columbia,driving,NA,South Carolina,United States,2021-01-26,106.74
city,Columbia,driving,NA,South Carolina,United States,2021-01-27,107.46
city,Columbia,driving,NA,South Carolina,United States,2021-01-28,116
city,Columbia,driving,NA,South Carolina,United States,2021-01-29,135.89
city,Columbia,driving,NA,South Carolina,United States,2021-01-30,128.53
city,Columbia,driving,NA,South Carolina,United States,2021-01-31,87.23
city,Columbia,driving,NA,South Carolina,United States,2021-02-01,105.08
city,Columbia,driving,NA,South Carolina,United States,2021-02-02,109.35
city,Columbia,driving,NA,South Carolina,United States,2021-02-03,112.69
city,Columbia,driving,NA,South Carolina,United States,2021-02-04,116
city,Columbia,driving,NA,South Carolina,United States,2021-02-05,133.18
city,Columbia,driving,NA,South Carolina,United States,2021-02-06,128.59
city,Columbia,driving,NA,South Carolina,United States,2021-02-07,92.14
city,Columbia,driving,NA,South Carolina,United States,2021-02-08,107.57
city,Columbia,driving,NA,South Carolina,United States,2021-02-09,110.81
city,Columbia,driving,NA,South Carolina,United States,2021-02-10,112.16
city,Columbia,driving,NA,South Carolina,United States,2021-02-11,121.43
city,Columbia,driving,NA,South Carolina,United States,2021-02-12,141.04
city,Columbia,driving,NA,South Carolina,United States,2021-02-13,129.45
city,Columbia,driving,NA,South Carolina,United States,2021-02-14,101.25
city,Columbia,driving,NA,South Carolina,United States,2021-02-15,102.34
city,Columbia,driving,NA,South Carolina,United States,2021-02-16,111.02
city,Columbia,driving,NA,South Carolina,United States,2021-02-17,114.33
city,Columbia,driving,NA,South Carolina,United States,2021-02-18,108.55
city,Columbia,driving,NA,South Carolina,United States,2021-02-19,136.11
city,Columbia,driving,NA,South Carolina,United States,2021-02-20,137.59
city,Columbia,driving,NA,South Carolina,United States,2021-02-21,99.03
city,Columbia,driving,NA,South Carolina,United States,2021-02-22,109.06
city,Columbia,driving,NA,South Carolina,United States,2021-02-23,115.77
city,Columbia,driving,NA,South Carolina,United States,2021-02-24,121.75
city,Columbia,driving,NA,South Carolina,United States,2021-02-25,130.15
city,Columbia,driving,NA,South Carolina,United States,2021-02-26,145.1
city,Columbia,driving,NA,South Carolina,United States,2021-02-27,146.54
city,Columbia,driving,NA,South Carolina,United States,2021-02-28,108.57
city,Columbia,driving,NA,South Carolina,United States,2021-03-01,115.93
city,Columbia,driving,NA,South Carolina,United States,2021-03-02,117.81
city,Columbia,driving,NA,South Carolina,United States,2021-03-03,125.4
city,Columbia,driving,NA,South Carolina,United States,2021-03-04,134.08
city,Columbia,driving,NA,South Carolina,United States,2021-03-05,155.25
city,Columbia,driving,NA,South Carolina,United States,2021-03-06,145.94
city,Columbia,driving,NA,South Carolina,United States,2021-03-07,108.5
city,Columbia,driving,NA,South Carolina,United States,2021-03-08,119.99
city,Columbia,driving,NA,South Carolina,United States,2021-03-09,123.86
